country,lat,lng,funding,funding.1
Afghanistan,33.94,67.71,funding,158972662
Austria,47.52,14.55,funding,0
Azerbaijan,40.14,47.58,funding,0
Burundi,-3.37,29.92,funding,0
Belgium,50.5,4.47,funding,0
Benin,9.31,2.32,funding,0
Burkina Faso,12.24,-1.56,funding,57960432
Bangladesh,23.68,90.36,funding,8239389
Bosnia and Herzegovina,43.92,17.68,funding,0
Belarus,53.71,27.96,funding,0
Belize,17.19,-88.5,funding,0
Bolivia,-16.29,-63.59,funding,612185
Brazil,-14.24,-51.93,funding,5071921
Central African Republic,6.61,20.94,funding,29369319
Chile,-35.68,-71.54,funding,181687
China,35.86,104.19,funding,0
Cameroon,7.37,12.35,funding,20273919
Colombia,4.57,-74.3,funding,15578889
Colombia,4.57,-74.3,funding,11214589
Costa Rica,9.75,-83.75,funding,0
Cuba,21.52,-77.78,funding,0
Cyprus,35.13,33.43,funding,0
Germany,51.17,10.45,funding,0
Dominican Republic,18.74,-70.16,funding,1173665
Algeria,28.03,1.66,funding,0
Ecuador,-1.83,-78.18,funding,2422352
Egypt,26.82,30.8,funding,625000
Ethiopia,9.15,40.49,funding,500000
France,46.23,2.21,funding,0
Georgia,42.32,43.36,funding,0
Ghana,7.95,-1.02,funding,0
Guinea,9.95,-9.7,funding,0
Greece,39.07,21.82,funding,0
Guatemala,15.78,-90.23,funding,0
Guyana,4.86,-58.93,funding,150110
Honduras,15.2,-86.24,funding,0
Haiti,18.97,-72.29,funding,32177241
Indonesia,-0.79,113.92,funding,0
India,20.59,78.96,funding,0
Iran,32.43,53.69,funding,0
Iraq,33.22,43.68,funding,0
Israel,31.05,34.85,funding,0
Italy,41.87,12.57,funding,0
Jamaica,18.11,-77.3,funding,0
Kazakhstan,48.02,66.92,funding,0
Kenya,-0.02,37.91,funding,0
Kyrgyzstan,41.2,74.77,funding,0
Lebanon,33.85,35.86,funding,1086974
Libya,26.34,17.23,funding,0
Sri Lanka,7.87,80.77,funding,7703292
Morocco,31.79,-7.09,funding,0
Moldova,47.41,28.37,funding,0
Madagascar,-18.77,46.87,funding,0
Mexico,23.63,-102.55,funding,5448854
Mali,17.57,-3.99,funding,46526485
Myanmar,21.92,95.96,funding,62180097
Mozambique,-18.66,35.53,funding,26193544
Malaysia,4.21,101.98,funding,0
Niger,17.61,8.08,funding,50583019
Nigeria,9.08,8.68,funding,39788283
Nepal,28.39,84.12,funding,0
Pakistan,30.38,69.35,funding,9838977
Peru,-9.19,-75.02,funding,6500551
Philippines,12.88,121.77,funding,0
Papua New Guinea,-6.31,143.96,funding,0
Palestine,31.95,35.23,funding,241269681
Romania,45.94,24.97,funding,0
Russia,61.52,105.32,funding,0
Rwanda,-1.94,29.87,funding,0
Sudan,12.86,30.22,funding,373134224
Sierra Leone,8.46,-11.78,funding,0
Somalia,5.15,46.2,funding,113199361
Serbia,44.02,21.01,funding,0
South Sudan,6.88,31.31,funding,153429173
Slovakia,48.67,19.7,funding,0
Sweden,60.13,18.64,funding,0
Syria,34.8,38.99,funding,161798281
Chad,15.45,18.73,funding,65291178
Thailand,15.87,100.99,funding,0
Trinidad and Tobago,10.69,-61.22,funding,65881
Tunisia,33.89,9.54,funding,0
Turkey,38.96,35.24,funding,0
Tanzania,-6.37,34.89,funding,0
Uganda,1.37,32.29,funding,0
Ukraine,48.38,31.17,funding,310089453
United States,37.09,-95.71,funding,0
Uzbekistan,41.38,64.59,funding,0
Venezuela,6.42,-66.59,funding,22554442
Yemen,15.55,48.52,funding,171825147
South Africa,-30.56,22.94,funding,0
